field_name,prefix
chkTotalRevenue,chk
chkTotalRevenue_1,chk
chkTypeOfBusinessService,chk
imgAgentSignature,img
imgBarCode,img
imgLockImage,img
imgOfficeLogo,img
imgPersonSignature,img
imgPlannerSignature,img
imgRiskLevelRange_,img
imgSecondPersonSignature,img
txtAcceptCompany_DUPLICATED_1,txt
txtAcceptMaslul,txt
txtAcceptMaslul_DUPLICATED_1,txt
txtAcceptMaslul_DUPLICATED_2,txt
txtAcceptMaslul_DUPLICATED_3,txt
txtAcceptMaslul_DUPLICATED_4,txt
txtAcceptMaslul_DUPLICATED_5,txt
txtAcceptMaslul_DUPLICATED_6,txt
txtAcceptMaslul_DUPLICATED_7,txt
txtAcceptMaslul_DUPLICATED_8,txt
txtAcceptMaslulNameAndNumberSummary,txt
txtAcceptMaslulNameSummary,txt
txtAcceptMaslulNumberSummary,txt
txtAccountName,txt
txtAccountNumber,txt
txtAccountYear,txt
txtAddressOfTheCorporation,txt
txtAgencyApartmentPostalCode,txt
txtAgencyCity,txt
txtAgencyFullAddress,txt
txtAgencyHouseNumber,txt
txtAgencyMail,txt
txtAgencyName,txt
txtAgencyNumber,txt
txtAgencyPhone,txt
txtAgencyStreet,txt
txtAgencyStreetandcity,txt
txtAgencyStreetAndHouseNumber,txt
txtAgencyStreetAndHouseNumber_2,txt
txtAgencyStreetAndHouseNumberAndCity,txt
txtAgent,txt
txtAgentMail,txt
txtAgentMobile,txt
txtAgentName,txt
txtAgentName_DUPLICATED_1,txt
txtAgentNumberInAgency,txt
txtAgentPhone,txt
txtAmlaType_EqualAmlaPercentsDeposits,txt
txtAmlaType_EqualAmlaPercentsZvira,txt
txtAmount,txt
txtAmountLoan,txt
txtAmountOfTheInvestment,txt
txtApproverName,txt
txtAzmaeiDepositAmount,txt
txtAzmaeiTadirotTashlum,txt
txtBarCode,txt
txtBasedInformation,txt
txtBetterFirstName,txt
txtBetterFullName,txt
txtBetterLastName,txt
txtBilingDate_1,txt
txtBilingDate_2,txt
txtCaseNumber,txt
txtCodeMaslul_,txt
txtCodeMaslulPizuim_,txt
txtCodeMasluTagmulim_,txt
txtControllingShareholdersFullName_1,txt
txtControllingShareholdersFullName_2,txt
txtControllingShareholdersID_1,txt
txtControllingShareholdersID_2,txt
txtCountryOfBirth,txt
txtCountryOfIncorporation,txt
txtCurrencyCode,txt
txtCurrencyName,txt
txtCurrencySymbol,txt
txtCurrencyTransaction,txt
txtCustomerAccountNumberpension,txt
txtCustomerAccountNumberpension_1,txt
txtCustomerAddress,txt
txtCustomerName,txt
txtCustomerNationalID,txt
txtCustomerRequest,txt
txtData,txt
txtDate,txt
txtDate2,txt
txtDate3,txt
txtDate4,txt
txtDateOfIncorporation,txt
txtDepositAmount,txt
txtDescriptionOfTheTransaction,txt
txtDeterminingRateOfRewards,txt
txtDigitalSignText,txt
txtExpectedamount,txt
txtExtraNotes,txt
txtFamilyMemberFirstName,txt
txtFamilyMemberLastName,txt
txtFinanceInstitue,txt
txtFirstNameEnglish,txt
txtFirstNamePerson,txt
txtFullAddress,txt
txtFullNamePerson,txt
txtFullNamePerson_1,txt
txtFullNamePerson_2,txt
txtFullNamePersonEnglish,txt
txtHafkadaHadPeami,txt
txtHafkadaHadPeami_1,txt
txtHafkadaHadPeami_2,txt
txtHafkadaHadPeamiWhenExistAlsoShotef,txt
txtHafkadaHadPeamiWithoutShotef,txt
txtHafkadaMonth,txt
txtHafkadaShotef,txt
txtHafkadaShotef_1,txt
txtHafkadaShotef_2,txt
txtHafkadaShotefWhenExistAlsoHadPeami,txt
txtHafkadaShotefWithoutHadPeami,txt
txtHanmakaWorkForFinanceInstitute,txt
txtInstitueApartmentPostalCode,txt
txtInstitueCity,txt
txtInstitueFullAddress,txt
txtInstitueHouseNumber,txt
txtInstitueMail,txt
txtInstitueName,txt
txtInstitueNumber,txt
txtInstituePhone,txt
txtInstitueStreet,txt
txtInstitueStreetandcity,txt
txtInstitueStreetAndHouseNumber,txt
txtInstitueStreetAndHouseNumber_2,txt
txtInstitueStreetAndHouseNumberAndCity,txt
txtInsuranceAgency,txt
txtInvestmentAmount,txt
txtIsAnotherIncome,txt
txtITIN_1,txt
txtITINSecondPerson,txt
